Component Type,Tier,Vendor,URL / Platform,Price (per unit),MOQ,Lead Time,Tariff Risk,AMS Compatibility,Notes
PLA+ Filament (1.75mm),Primary,eSUN PLA+ Pro,Amazon,~$12–13/kg (10-pack); ~$15–18/kg (single),1 spool (1 kg),1–2 days Prime,High — Chinese-origin; +10–20% since Q4 2025,Confirmed — industry standard,"Most consistent color availability; Subscribe & Save for auto-delivery; recommended launch primary"
PLA+ Filament (1.75mm),Secondary,Overture PLA+,Amazon,"~$11–14/kg single; <$11/kg in 10-pack bundle",1 spool (1 kg),1–2 days Prime,High — Chinese-origin,Confirmed,"Cardboard spool; ±0.02mm tolerance; 4-pack bundles often in stock when individual spools are not; emergency same-day reorder"
PLA+ Filament (1.75mm),Tertiary / Tariff Hedge,Polymaker Panchroma PLA (wholesale),us-wholesale.polymaker.com,$14.99/kg wholesale (up to 45% off MSRP),$1,000 minimum (~67 kg),Next-day from Texas,Low — manufactured in USA,"Print Farm Tested for Bambu, Prusa, Creality","Batch-to-batch color consistency guaranteed; activate at 25+ kg/month (~330 units/month); free shipping over $3,000"
PLA+ Filament (1.75mm),Quality Premium,Hatchbox PLA,Amazon,~$25–28/kg (1 kg spool),1 spool,1–2 days Prime,Medium — origin unclear; Amazon-stocked,Confirmed,"4.7 stars / 40,954 reviews — highest customer trust on Amazon; use for headphone hooks where surface quality is most visible"
PLA+ Filament (1.75mm),Domestic Fallback,Polar Filament,polarfilament.com,~$18.99/kg; free shipping 3+ spools,1 spool,3–5 days standard,None — Michigan domestic; NatureWorks Nebraska PLA pellets,Confirm via test spool,"Fully tariff-immune; best choice if Chinese prices spike 30%+; slightly higher price than wholesale Polymaker"
PLA+ Filament (1.75mm),Domestic Alternative,MatterHackers MH Build Series PLA,matterhackers.com,$19–23/kg (Build Series); $24+/kg (PRO NatureWorks),1 spool; no MOQ,2–4 days; some colors June ETA,None — US-based supplier,Confirmed,"PRO Series uses NatureWorks 4043D Ingeo — best US-made option for dimensional accuracy; check in-stock before ordering"
Nozzle 0.4mm (hardened brass),Primary,Bambu Lab Official Store,us.store.bambulab.com,$3–5/unit; complete hotend assembly also available,1 unit,3–7 days (not Prime),"Low — OEM parts; not commodity import","n/a","Wear interval: 600–800 hr; replace proactively. Stock 6/printer minimum"
Nozzle 0.4mm (hardened brass),Secondary,Amazon (Bambu P1S-compatible),Amazon (search 'Bambu P1S nozzle 0.4mm'),$8–15 for 2-pack or 5-pack compatible,1 pack (2–5 units),1–2 days Prime,Low — Amazon-stocked,Confirm: check listing explicitly says P1S compatible,"Emergency fill only; verify fit with 1-unit test before production run; replace with OEM at next opportunity"
Nozzle 0.4mm (hardened brass),Secondary Alt,3D Universe Bambu Parts,shop3duniverse.com,Comparable to official store,1 unit,2–5 days,Low,"n/a","Reliable third-party; often has stock when official Bambu store is out"
Build Plate PEI (256x256mm textured),Primary,Bambu Lab Official Store (Textured PEI),us.store.bambulab.com,$20–35/plate,1 plate,3–7 days (not Prime),Low — OEM,"n/a","Textured both sides; PEI coating good for PLA, PETG, TPU, ABS. Durability: 9–12 months at production"
Build Plate PEI (256x256mm textured),Secondary,Amazon (Bambu-compatible OEM or third-party),Amazon (search 'Bambu P1S build plate PEI 256mm'),$20–40 OEM; $12–25 third-party,1 plate,1–2 days Prime,Low,Confirm 256×256mm and magnetic spring steel base,"Confirm exact dimensions before ordering; Micro Center same-day if local"
Build Plate PEI (256x256mm textured),Emergency,Micro Center (in-store),microcenter.com,~$25–35,1 plate,Same day (if local Micro Center),"Low","n/a","Available in-store; use when official store/Amazon lead time unacceptable"
Poly Mailers 6x9" (packaging),Primary,Amazon bulk (Ruspepa / Jiaroswwei),Amazon (search 'poly mailers 6x9'),~$0.07–0.10/unit at 100-count; ~$0.05–0.08 at 500-count,100 units,1–2 days Prime,Low — commodity,n/a,"Wide availability; multiple brands equivalent quality; Subscribe & Save for auto-reorder"
Poly Mailers 6x9" (packaging),Secondary,ULINE Tear-Proof Polyethylene Mailers S-3352,uline.com,$0.17/unit (1 case = 100); $0.13/unit (20+ cases),100 units (1 case),"1–3 days (14 US distribution centers)",Low — US-stocked,n/a,"Higher quality; perforated tear strip for buyer experience; 3 mil thickness; more professional for scaling"
Poly Mailers 6x9" (packaging),Bulk Tier,Interplas 6x9 Perforated Bulk,interplas.com,Sub-$0.06/unit at 1000-count,1,000 units,3–5 days,Low,n/a,"Activate at 150+ units/week when 1000-count/order is rational"
Kraft Boxes 6x4x2" (for rails),Primary,MrBoxOnline,mrboxonline.com,$0.63/box at 50-count,25 units,3–5 days,Low,n/a,"Good quality mailer box for rail SKUs; price drops with larger orders"
Kraft Boxes 6x4x2" (for rails),Secondary,Amazon (RetailSource / Aviditi),Amazon (search 'kraft mailer box 6x4x2'),$0.40–0.80/box at 25–50 count,25 units,1–2 days Prime,Low,n/a,"Emergency reorder; multiple brands available"
Kraft Boxes 6x4x2" (for rails),Alt Format,ULINE Corrugated Self-Seal Mailers,uline.com,$0.65–$0.85/unit (case qty lower),1 case,1–3 days,Low,n/a,"ULINE S-13913; higher structural integrity than kraft; good for heavier rail SKUs"
Thermal Labels 4x6" (shipping),Primary,Amazon (Rollo/generic compatible),Amazon (search 'thermal labels 4x6 1000 pack'),~$10–15 per 250-count roll; ~$35–50 for 1000-count bundle,250 labels,1–2 days Prime,Low,n/a,"Standard for all major thermal label printers (Rollo, Zebra, Dymo 4XL)"
Thermal Labels 4x6" (shipping),Emergency,Staples / Office Depot / Walmart (in-store),Various,+20–40% premium vs. online,1 roll,Same day,Low,n/a,"Available at major office supply chains nationwide; use when printer stock runs out unexpectedly"
Rubber Bumpon Feet SJ5302 (headphone hook BOM),Primary,Amazon (3M SJ5302 or equivalent),Amazon (search 'SJ5302 bumpon self-adhesive'),$0.03–0.06/unit in 50–100-pack,50 units,1–2 days Prime,Low,n/a,"Self-adhesive silicone feet; 1.5mm height; install 2 per headphone hook"
Rubber Bumpon Feet SJ5302 (headphone hook BOM),Secondary,Hardware store (Home Depot / Lowe's),In-store,$0.05–0.10/unit,As-needed,Same day,Low,n/a,"Available in furniture and door hardware sections; wider variety of sizes"
PTFE Tubing (printer maintenance),Primary,Amazon (generic 2mm ID / 4mm OD),Amazon (search 'PTFE tube 2mm 4mm 1 meter'),$4–8 per meter,1 meter,1–2 days Prime,Low,n/a,"Replace proactively every 6 months at production duty; critical for AMS feed path"
PTFE Tubing (printer maintenance),Secondary,Local hardware store,Various,Higher price,As-needed,Same day,Low,n/a,"Generic PTFE tubing (2mm ID / 4mm OD) — confirm bore dimensions before purchase"
Backup Printer (hardware redundancy — Phase 1+),Phase 1 Upgrade,Bambu P1S,us.store.bambulab.com / Amazon / Best Buy,$399 current street price,1 unit,2–7 days (Prime or direct),Moderate — Chinese-origin hardware; tariff fluctuation risk,n/a,"Same platform as primary; zero gcode reconfiguration needed. Buy at promotional pricing when available. Trigger: 30+ units/week sustained"
Backup Printer (hardware redundancy — Phase 1+),Phase 1 Budget Alt,Bambu A1 Mini,$219–$249 on sale,us.store.bambulab.com / Amazon,1 unit,2–5 days,Moderate,Compatible with Bambu ecosystem,"Smaller build volume (180×180mm) but equivalent throughput for clips; no enclosure; use as budget Phase 1 add if cash is tight"
Backup Printer (hardware redundancy — Phase 1+),Phase 3 Upgrade Path,Bambu P2S,$499–$549,us.store.bambulab.com,1 unit,2–7 days,Moderate,AMS 2 Pro compatible,"15–20% speed advantage over P1S; recommend mixing into Phase 3 expansion after community reliability data matures"
Backup Printer (hardware redundancy — Phase 1+),Alternative Platform,Prusa MK4S,$749–$799,prusa3d.com,1 unit,1–3 weeks (ships from Czech Republic),Low — European manufacturer; no China tariff exposure,Via MMU3 addon,"Open-source; fully repairable; slower than Bambu but highest reliability score; fallback if Bambu faces US ban or supply disruption"
