domain_pair,domain_a,domain_b,can_parallelize,dependency_type,parallelization_score,notes
D48/D49_Callais,Domain 48 (Criminal Justice),Domain 49 Callais (VRA Redistricting),yes,none,9,"No data dependency. Both complete. Shared audiences (NAACP LDF, Campaign Legal Center) benefit from receiving both, but neither domain's research requires the other. Distribute 3-5 days apart to allow response window between sends to shared contacts."
D48/D50_Healthcare,Domain 48 (Criminal Justice),Domain 50 (Healthcare/NVRA Medicaid),yes,none,8,"No data dependency. Domain 48's criminal justice civic exclusion framing is analytically distinct from Domain 50's NVRA-Medicaid pathway. Both complete. Shared audience: state AG civil rights divisions. Send 3-5 days apart."
D48/D51,Domain 48 (Criminal Justice),Domain 51 (Campaign Finance),yes,output-feed,7,"Domain 48 cross-references Domain 51 (dark money insulates prosecutor races). Research is complete for both. Preferred sequence: Domain 48 before Domain 51 for shared contacts who should understand the feedback loop, but this is messaging optimization not a hard dependency. Full parallelization is feasible."
D48/D56,Domain 48 (Criminal Justice),Domain 56 (Civil Service),yes,none,9,"No dependency. Different primary audiences (criminal justice reform vs. civil service policy). Both complete and can distribute simultaneously."
D48/D57,Domain 48 (Criminal Justice),Domain 57 (Multilateral Withdrawal),yes,none,8,"No dependency. Different primary audiences entirely. Criminal justice contacts do not overlap with international law/foreign policy contacts."
D48/D58,Domain 48 (Criminal Justice),Domain 58 (Tribal Sovereignty),yes,none,7,"No data dependency. Some audience overlap (NAACP LDF receives both; voting rights cluster July 15 send includes D58+D49+D1). Virginia felony disenfranchisement and tribal voting rights both belong in same August voting rights distribution wave. Can parallelize."
D48/D59,Domain 48 (Criminal Justice),Domain 59 (Economic Precarity),yes,none,9,"No data dependency. Both address civic exclusion from different angles — criminal justice contact vs. economic precarity. Shared audiences: labor unions, voting rights organizations. Both complete. High parallelization value: paired framing is stronger than either alone for GOTV-adjacent organizations."
D48/D49_EJ,Domain 48 (Criminal Justice),Domain 49-EJ (Environmental Justice),no,scheduling,4,"Domain 49-EJ not yet researched (July 1 activation). Domain 48 is complete and distributes August 1-15. By the time Domain 49-EJ is ready (August-September), Domain 48 will be in post-distribution monitoring. No direct dependency, but cannot actually run parallel because Domain 49-EJ research has not started."
D48/D50_LGBTQ,Domain 48 (Criminal Justice),Domain 50 LGBTQ (Anti-trans ballot measures),yes,none,8,"No data dependency. Domain 50 (LGBTQ+) research begins July 1; Domain 48 distributes August 1-15. Research phases do not conflict. Audiences overlap minimally (some state AG civil rights offices). High parallelization score because both are independent research/distribution tracks."
D49_Callais/D50_Healthcare,Domain 49 Callais (VRA),Domain 50 (Healthcare/NVRA Medicaid),yes,output-feed,8,"Domain 49 (Callais) documents the redistricting cascade that Domain 50's NVRA enforcement argument contextualizes. For litigation contacts, sequence Domain 49 before Domain 50 — understanding the redistricting stakes strengthens the NVRA argument. Fully parallelizable for different audience segments."
D49_Callais/D51,Domain 49 Callais (VRA),Domain 51 (Campaign Finance),yes,none,9,"No dependency. VRA redistricting and dark money architecture are analytically distinct. Some audience overlap (Brennan Center, Campaign Legal Center). Distribute 3-5 days apart for shared contacts."
D49_Callais/D56,Domain 49 Callais (VRA),Domain 56 (Civil Service),yes,output-feed,7,"Domain 56 provides the mechanism (DOJ Voting Section staff reduction from 30 to 6) that partially explains why VRA enforcement collapsed post-Callais. For DOJ-adjacent contacts, Domain 56 should precede or accompany Domain 49 Callais. Parallelizable for non-DOJ audiences."
D49_Callais/D57,Domain 49 Callais (VRA),Domain 57 (Multilateral Withdrawal),yes,none,8,"No dependency. Completely different audiences and argument structures. High parallelization."
D49_Callais/D58,Domain 49 Callais (VRA),Domain 58 (Tribal Sovereignty),yes,none,9,"Designed to distribute together. July 15 voting rights cluster send explicitly groups D58 + D49 Callais + D1. Both complete. Parallel agents can manage distribution simultaneously."
D49_Callais/D59,Domain 49 Callais (VRA),Domain 59 (Economic Precarity),yes,none,8,"No dependency. Different primary audiences. Both complete. Parallelizable."
D49_Callais/D49_EJ,Domain 49 Callais (VRA),Domain 49-EJ (Environmental Justice),no,scheduling,3,"Numbering conflict is the primary issue — both assigned Domain 49. Domain 49 Callais is complete and distributing. Domain 49-EJ is not yet researched. Recommend renaming Domain 49-EJ to Domain 53 or Domain 49-B to eliminate confusion. Cannot genuinely parallelize a complete domain with an unstarted one."
D49_Callais/D50_LGBTQ,Domain 49 Callais (VRA),Domain 50 LGBTQ (Anti-trans ballot measures),yes,none,8,"No dependency. VRA redistricting (race-based) and anti-trans ballot measure suppression (identity-based) are analytically distinct. Both reach voting rights organizations. Parallelizable."
D50_Healthcare/D51,Domain 50 (Healthcare/NVRA Medicaid),Domain 51 (Campaign Finance),yes,none,8,"No dependency. NVRA-Medicaid nexus and dark money architecture are distinct arguments. Shared audiences minimal. High parallelization."
D50_Healthcare/D56,Domain 50 (Healthcare/NVRA Medicaid),Domain 56 (Civil Service),yes,none,9,"No dependency. Healthcare/voting rights nexus and civil service politicization are distinct. Different primary audiences. Full parallelization."
D50_Healthcare/D57,Domain 50 (Healthcare/NVRA Medicaid),Domain 57 (Multilateral Withdrawal),yes,none,8,"No dependency. Completely different audiences and arguments. Full parallelization."
D50_Healthcare/D58,Domain 50 (Healthcare/NVRA Medicaid),Domain 58 (Tribal Sovereignty),yes,none,7,"Domain 50 documents Medicaid-ICE data sharing chilling effect (80M patients). Domain 58 covers tribal sovereignty including health data issues. Some analytical overlap on ICE data use, but distinct enough for parallel distribution. CBPP and Georgetown CCF receive Domain 50; NCAI and NARF receive Domain 58. No audience conflict."
D50_Healthcare/D59,Domain 50 (Healthcare/NVRA Medicaid),Domain 59 (Economic Precarity),yes,output-feed,8,"Domain 50 and Domain 59 both address OBBBA consequences — Domain 50 through the NVRA-Medicaid registration pathway, Domain 59 through the economic precarity-civic participation causal chain. For healthcare organizations like CBPP and Georgetown CCF, pair these: send both. Do not sequence strictly — parallelize and let recipients see the two analytical angles simultaneously. For voting rights organizations, Domain 59 leads."
D50_Healthcare/D49_EJ,Domain 50 (Healthcare/NVRA Medicaid),Domain 49-EJ (Environmental Justice),yes,none,6,"No dependency. Different research timelines (Domain 50 active now, Domain 49-EJ starts July 1). Parallelizable in theory but Domain 49-EJ research has not begun."
D50_Healthcare/D50_LGBTQ,Domain 50 (Healthcare/NVRA Medicaid),Domain 50 LGBTQ (Anti-trans ballot measures),no,scheduling,2,"CRITICAL: These are two different research tracks currently assigned the same domain number (50). Domain 50 as produced May 13 = Healthcare/NVRA Medicaid nexus. Domain 50 per the July parallel runbook = LGBTQ+ rights and anti-trans ballot measures. This is a numbering conflict that must be resolved before July 1 launch. Recommend: rename July LGBTQ+ research to Domain 52 or Domain 50-B. Cannot resolve in this matrix — flag for user decision."
D51/D56,Domain 51 (Campaign Finance),Domain 56 (Civil Service),yes,none,9,"No dependency. Different primary audiences. Both complete. Full parallelization."
D51/D57,Domain 51 (Campaign Finance),Domain 57 (Multilateral Withdrawal),yes,none,9,"No dependency. Both complete. Completely different audiences and distribution windows (D51 July 1; D57 August 10). Full parallelization — these are the most independent domain pair in the Phase 2 set."
D51/D58,Domain 51 (Campaign Finance),Domain 58 (Tribal Sovereignty),yes,none,9,"No dependency. Different audiences. Both complete. Full parallelization."
D51/D59,Domain 51 (Campaign Finance),Domain 59 (Economic Precarity),yes,none,9,"No dependency. Different primary audiences (campaign finance reform vs. economic justice/labor). Both complete. Full parallelization."
D51/D49_EJ,Domain 51 (Campaign Finance),Domain 49-EJ (Environmental Justice),yes,none,7,"No data dependency. Different research timelines. Domain 51 distributes July 1; Domain 49-EJ research starts July 1. No conflict."
D51/D50_LGBTQ,Domain 51 (Campaign Finance),Domain 50 LGBTQ (Anti-trans ballot measures),yes,none,8,"No dependency. Different audiences and argument structures. Full parallelization."
D56/D57,Domain 56 (Civil Service),Domain 57 (Multilateral Withdrawal),yes,none,9,"No dependency. Both complete. Different primary audiences (civil service reform vs. international law/foreign policy). Full parallelization — distribute simultaneously if capacity allows."
D56/D58,Domain 56 (Civil Service),Domain 58 (Tribal Sovereignty),yes,none,8,"No dependency. Domain 56 covers DOJ/civil service hollowing; Domain 58 covers tribal sovereignty. Some overlap via DOJ Trust Responsibility erosion. Parallelize — different primary audiences."
D56/D59,Domain 56 (Civil Service),Domain 59 (Economic Precarity),yes,none,8,"No dependency. Civil service politicization and economic precarity as civic exclusion are analytically distinct. Some shared audience (labor unions receive both). Parallelize."
D56/D49_EJ,Domain 56 (Civil Service),Domain 49-EJ (Environmental Justice),yes,none,7,"No data dependency. Domain 56 complete; Domain 49-EJ starts July. Different audiences."
D56/D50_LGBTQ,Domain 56 (Civil Service),Domain 50 LGBTQ (Anti-trans ballot measures),yes,none,8,"No dependency. Different audiences. Full parallelization."
D57/D58,Domain 57 (Multilateral Withdrawal),Domain 58 (Tribal Sovereignty),yes,input-feed,7,"Domain 57's ICC sanctions analysis (civil society capacity destruction) and Domain 58's tribal sovereignty analysis (international accountability mechanisms) share an argument: US withdrawal from international accountability infrastructure harms domestic groups who relied on those mechanisms. For international law contacts, sequence D57 before D58 or send together. Both complete. Parallelizable for non-overlapping audiences."
D57/D59,Domain 57 (Multilateral Withdrawal),Domain 59 (Economic Precarity),yes,none,9,"No dependency. Most independent pair after D51/D57. Different audiences (international law/foreign policy vs. economic justice/labor). Both complete. Different distribution windows (D57 August 10; D59 September 1). Full parallelization."
D57/D49_EJ,Domain 57 (Multilateral Withdrawal),Domain 49-EJ (Environmental Justice),yes,none,7,"Domain 57 includes IPCC/UNFCCC withdrawal. Domain 49-EJ covers EPA Endangerment Finding revocation. Both address climate governance dismantlement from different angles. For climate advocacy organizations, sequence D57 (international) before D49-EJ (domestic EPA). Parallelizable for non-climate audiences."
D57/D50_LGBTQ,Domain 57 (Multilateral Withdrawal),Domain 50 LGBTQ (Anti-trans ballot measures),yes,none,7,"No dependency. Domain 57's ICC sanctions cover civil society suppression broadly; Domain 50's anti-trans analysis is domestic. Some thematic overlap on civil society capacity destruction. Different primary audiences."
D58/D59,Domain 58 (Tribal Sovereignty),Domain 59 (Economic Precarity),yes,none,8,"No dependency. Tribal sovereignty and economic precarity as civic exclusion are analytically distinct. Shared audiences limited (some Native voting rights organizations relevant to both). Both complete. Distribute independently — different timing triggers (D58 ruling-triggered; D59 September 1)."
D58/D49_EJ,Domain 58 (Tribal Sovereignty),Domain 49-EJ (Environmental Justice),yes,none,6,"Some analytical overlap — tribal nations are disproportionately affected by EPA Endangerment Finding revocation and NEPA rollbacks. For Native environmental justice organizations, pair these. Domain 58 complete; Domain 49-EJ research starts July. Different distribution timelines."
D58/D50_LGBTQ,Domain 58 (Tribal Sovereignty),Domain 50 LGBTQ (Anti-trans ballot measures),yes,none,7,"No dependency. Tribal sovereignty and LGBTQ+ rights intersect at Two-Spirit and Native LGBTQ+ identity, but this is supplementary not structural. Full parallelization for primary audiences."
D59/D49_EJ,Domain 59 (Economic Precarity),Domain 49-EJ (Environmental Justice),yes,none,7,"No dependency. Economic precarity as civic exclusion and environmental justice are analytically distinct. Some shared audiences (frontline community organizations). Domain 59 complete; Domain 49-EJ starts July. Parallelizable with offset timelines."
D59/D50_LGBTQ,Domain 59 (Economic Precarity),Domain 50 LGBTQ (Anti-trans ballot measures),yes,none,8,"No dependency. Economic precarity and LGBTQ+ rights both address civic exclusion from different angles. For LGBTQ+ youth organizations that intersect economic precarity data (Harvard IOP: 45% struggling to make ends meet), pair these. Full parallelization."
D49_EJ/D50_LGBTQ,Domain 49-EJ (Environmental Justice),Domain 50 LGBTQ (Anti-trans ballot measures),yes,none,9,"These are the two July 1 parallel research launch domains per domains-49-50-parallel-research-runbook.md. No data dependency between them. Spawn concurrent research agent sessions July 1. This is the highest-priority parallelization decision in Phase 2: if it is not executed on July 1, Domain 50 cannot meet its August 1 hard deadline."
