Month,Period,Phase,Visits_Forecast,Visits_Actual,Conversion_Rate_Pct_Forecast,Conversion_Rate_Pct_Actual,Sales_Count_Forecast,Sales_Count_Actual,Product_Mix_Notes,Gross_Revenue_Forecast,Gross_Revenue_Actual,Etsy_Transaction_Fee_6.5pct,Etsy_Payment_Processing_3pct_plus_025,Net_Revenue_Forecast,Net_Revenue_Actual,Fixed_COGS_Listing_Renewal,Operating_Costs_Other,Net_Profit_Forecast,Net_Profit_Actual,Cumulative_PL_Forecast,Cumulative_PL_Actual,Scenario_Notes
1,May-2026,Phase-1-Launch,300,,1.50%,,4.50,,All 21 products live. Spring gardening peak. No lifestyle photos yet.,$54.00,,$3.51,$1.87,$48.62,,1.05,0,$47.57,,$47.57,,Scenario B baseline. Monitor: views per listing per day target 10-20.
2,Jun-2026,Phase-1,500,,1.50%,,7.50,,Summer slowdown begins. Algorithm testing listing quality scores.,$90.00,,$5.85,$2.95,$81.20,,1.05,0,$80.15,,$127.72,,Watch: which 3 listings have highest view counts? Adjust tags on bottom 5.
3,Jul-2026,Phase-2-Launch,750,,1.50%,,11.25,,PHASE 2: Lifestyle photos added to top 6 products this month. Harvest season begins.,$135.00,,$8.78,$4.30,$121.92,,1.05,120,$0.87,,$128.59,,Phase 2 photography cost: $80-160 (use $120 midpoint). Track CTR before/after.
4,Aug-2026,Phase-2,900,,1.50%,,13.50,,Late summer. Back-to-school adjacent; prepper cohort active.,$162.00,,$10.53,$5.11,$146.36,,1.05,0,$145.31,,$273.90,,Phase 2 CTR lift should be visible in Etsy stats by now.
5,Sep-2026,Phase-1+2,1100,,1.65%,,18.15,,FALL PEAK: Harvest/preservation season. Homesteader + forager cohort peak.,$217.80,,$14.16,$6.78,$196.86,,1.05,0,$195.81,,$469.71,,Expect seasonal lift. Preservation manuals + foraging guides lead.
6,Oct-2026,Phase-3-Eval,1400,,1.65%,,23.10,,Fall peak continues. PHASE 3 DECISION: Pull conversion data. Use decision framework.,$277.20,,$18.02,$8.57,$250.61,,1.05,0,$249.56,,$719.27,,Decision gate: classify Phase 3 option A/B/C/D based on cohort + repeat buyer data.
7,Nov-2026,Phase-3-Dev,1600,,1.75%,,28.00,,Holiday season begins. Gift buyer cohort activates. Phase 3 development underway.,$336.00,,$21.84,$10.33,$303.83,,1.05,0,$302.78,,$1022.05,,Gift buyer cohort: Seed Saving Field Manual + Native Plants Guide lead.
8,Dec-2026,Phase-3-Dev,1800,,1.75%,,31.50,,Holiday peak. Gift buyer cohort peak. Zone Calendar high value gift.,$378.00,,$24.57,$11.59,$341.84,,1.05,0,$340.79,,$1362.84,,Q4 holiday peak. Run no discounts — full price. Bundle listings if possible.
9,Jan-2027,Phase-3-Early,1400,,1.50%,,21.00,,January slowdown. New Year preparedness spike for prepper cohort.,$252.00,,$16.38,$7.81,$227.81,,1.05,0,$226.76,,$1589.60,,Prepper cohort: Food Sovereignty + Hunting/Trapping + Meat Preservation.
10,Feb-2027,Phase-3,1200,,1.50%,,18.00,,Slow period. Seed catalog season begins mid-month.,$216.00,,$14.04,$6.73,$195.23,,1.05,0,$194.18,,$1783.78,,Seed Saving Field Manual + Heirloom Variety Guide start climbing.
11,Mar-2027,Phase-3,1600,,1.65%,,26.40,,Spring ramp begins. Regional listings (Phase 3) start contributing.,$316.80,,$20.59,$9.75,$286.46,,1.05,0,$285.41,,$2069.19,,Phase 3 regional variants should appear in Etsy search by now (60-90 day index lag).
12,Apr-2027,Phase-3,2000,,1.75%,,35.00,,Spring peak Year 2. Full catalog (21 Phase 1 + Phase 3 products) live.,$420.00,,$27.30,$12.85,$379.85,,1.05,0,$378.80,,$2447.99,,Year 1 complete. Review: total gross vs. $2654 Scenario B target.
13,May-2027,Phase-3,2200,,1.75%,,38.50,,Year 2 spring gardening peak. Compounding SEO authority.,$462.00,,$30.03,$14.11,$417.86,,1.05,0,$416.81,,$2864.80,,Year 2: traffic should compound 40-60% over Year 1 same-month if SEO optimized.
14,Jun-2027,Phase-3,2400,,1.75%,,42.00,,Summer. Review email list growth (target 200+ subscribers by now).,$504.00,,$32.76,$15.37,$455.87,,1.05,0,$454.82,,$3319.62,,Email list should be driving 10-15% of traffic by Month 14.
15,Jul-2027,Phase-3,2700,,1.75%,,47.25,,Harvest season starting. Phase 3 preservation derivatives contribute.,$567.00,,$36.86,$17.26,$512.88,,1.05,0,$511.83,,$3831.45,,Beginner preservation guides (Phase 3 Category 1) peak in July-August.
16,Aug-2027,Phase-3,2900,,1.75%,,50.75,,Late summer. Prepper cohort second surge.,$609.00,,$39.59,$18.52,$550.89,,1.05,0,$549.84,,$4381.29,,
17,Sep-2027,Phase-3,3200,,2.00%,,64.00,,Fall peak Year 2. Full Phase 3 catalog active. Native Plants Flashcard strong.,$768.00,,$49.92,$23.29,$694.79,,1.05,0,$693.74,,$5075.03,,Year 2 fall peak should exceed Year 1 by 50-80% if Phase 3 executing well.
18,Oct-2027,Phase-3,3600,,2.00%,,72.00,,October harvest peak. Seasonal Preservation Planner (Phase 3) gift anchor.,$864.00,,$56.16,$26.17,$781.67,,1.05,0,$780.62,,$5855.65,,
19,Nov-2027,Phase-3,3800,,2.00%,,76.00,,Pre-holiday. Master Preserver Bundle + Homesteader Complete Set (Phase 3 bundles).,$912.00,,$59.28,$27.61,$825.11,,1.05,0,$824.06,,$6679.71,,Bundle listings critical for AOV lift in Q4.
20,Dec-2027,Phase-3,4000,,2.00%,,80.00,,Holiday peak Year 2. Full ecosystem live.,$960.00,,$62.40,$29.05,$868.55,,1.05,0,$867.50,,$7547.21,,
21,Jan-2028,Phase-3,3200,,1.75%,,56.00,,January 2028. New Year prepper spike. Slower overall.,$672.00,,$43.68,$20.41,$607.91,,1.05,0,$606.86,,$8154.07,,
22,Feb-2028,Phase-3,2800,,1.75%,,49.00,,Seed catalog season. Growing planner + zone calendar spike.,$588.00,,$38.22,$17.89,$531.89,,1.05,0,$530.84,,$8684.91,,
23,Mar-2028,Phase-3,3500,,2.00%,,70.00,,Spring ramp Year 3. Algorithm maturity. Shop review count 200+.,$840.00,,$54.60,$25.45,$759.95,,1.05,0,$758.90,,$9443.81,,Reviews compound conversion rate. Target 200+ by Month 23.
24,Apr-2028,Phase-3,4000,,2.00%,,80.00,,Spring peak Year 3. Established shop status.,$960.00,,$62.40,$29.05,$868.55,,1.05,0,$867.50,,$10311.31,,24-month total: $10311 cumulative net cash (Scenario B). Full-cost break-even ~Month 18.
